Service Area,Account Description,Creditor,Transaction Date,JV Reference,JV Date,JV Value
Childrens Services,Other Transfer Payments to Soc,THE CHALLENGE NETW,14/05/2014,414,17/06/2014,45
Childrens Services,Building Repairs & Maintenance,TP WINCHMORE HILL,13/05/2014,857,17/06/2014,47.59
Childrens Services,Building Repairs & Maintenance,TP WINCHMORE HILL,22/05/2014,922,17/06/2014,2.45
Childrens Services,Building Repairs & Maintenance,TP WINCHMORE HILL,22/05/2014,920,17/06/2014,2.45
Childrens Services,Building Repairs & Maintenance,TP WINCHMORE HILL,22/05/2014,918,17/06/2014,5.76
Childrens Services,Building Repairs & Maintenance,TP WINCHMORE HILL,22/05/2014,916,17/06/2014,3.4
Childrens Services,Building Repairs & Maintenance,TP WINCHMORE HILL,22/05/2014,914,17/06/2014,3.95
Childrens Services,Building Repairs & Maintenance,TP WINCHMORE HILL,22/05/2014,912,17/06/2014,33.44
Childrens Services,Building Repairs & Maintenance,TP WINCHMORE HILL,13/05/2014,871,17/06/2014,4.99
Childrens Services,Building Repairs & Maintenance,TP WINCHMORE HILL,13/05/2014,869,17/06/2014,3.38
Childrens Services,Building Repairs & Maintenance,TP WINCHMORE HILL,13/05/2014,867,17/06/2014,2.54
Childrens Services,Building Repairs & Maintenance,TP WINCHMORE HILL,13/05/2014,865,17/06/2014,13.2
Childrens Services,Building Repairs & Maintenance,TP WINCHMORE HILL,13/05/2014,863,17/06/2014,3.87
Childrens Services,Building Repairs & Maintenance,TP WINCHMORE HILL,13/05/2014,861,17/06/2014,7.33
Childrens Services,Building Repairs & Maintenance,TP WINCHMORE HILL,13/05/2014,859,17/06/2014,2.65
Childrens Services,Building Repairs & Maintenance,TP WINCHMORE HILL,13/05/2014,855,17/06/2014,4.99
Childrens Services,Building Repairs & Maintenance,TP WINCHMORE HILL,08/05/2014,845,17/06/2014,38.32
Childrens Services,Building Repairs & Maintenance,TP WINCHMORE HILL,07/05/2014,842,17/06/2014,38.32
Childrens Services,Building Repairs & Maintenance,TP WINCHMORE HILL,07/05/2014,832,17/06/2014,3.07
Childrens Services,Building Repairs & Maintenance,TP WINCHMORE HILL,07/05/2014,834,17/06/2014,5.6
Childrens Services,Building Repairs & Maintenance,TP WINCHMORE HILL,07/05/2014,836,17/06/2014,9.9
Childrens Services,Building Repairs & Maintenance,TP WINCHMORE HILL,07/05/2014,838,17/06/2014,11.6
Childrens Services,Building Repairs & Maintenance,TP WINCHMORE HILL,07/05/2014,840,17/06/2014,3.3
Childrens Services,Building Repairs & Maintenance,TP WINCHMORE HILL,15/05/2014,885,17/06/2014,3.53
Childrens Services,Building Repairs & Maintenance,TP WINCHMORE HILL,15/05/2014,875,17/06/2014,9.07
Childrens Services,Building Repairs & Maintenance,TP WINCHMORE HILL,15/05/2014,877,17/06/2014,7.7
Childrens Services,Building Repairs & Maintenance,TP WINCHMORE HILL,15/05/2014,879,17/06/2014,3.63
Childrens Services,Building Repairs & Maintenance,TP WINCHMORE HILL,15/05/2014,881,17/06/2014,7.7
Childrens Services,Building Repairs & Maintenance,TP WINCHMORE HILL,15/05/2014,891,17/06/2014,14.45
Childrens Services,Building Repairs & Maintenance,TP WINCHMORE HILL,15/05/2014,889,17/06/2014,9
Childrens Services,Building Repairs & Maintenance,TP WINCHMORE HILL,15/05/2014,887,17/06/2014,5.6
Childrens Services,Building Repairs & Maintenance,TP WINCHMORE HILL,15/05/2014,883,17/06/2014,14.45
Childrens Services,Travelling Expenses,TRAINLINE.COM,15/05/2014,475,17/06/2014,64.46
Childrens Services,Travelling Expenses,TRAINLINE.COM,30/05/2014,450,17/06/2014,36.21
Childrens Services,Travelling Expenses,TRAINLINE.COM,22/05/2014,755,17/06/2014,47.63
Governance,Equipment and Materials Purcha,TRAVELODGE WEBSITE,21/05/2014,496,17/06/2014,160
Childrens Services,Subscriptions,TV LICENSING,21/05/2014,466,17/06/2014,72.75
Childrens Services,Publications,TV LICENSING,08/05/2014,828,17/06/2014,145.5
Childrens Services,Subscriptions,TV LICENSING,21/05/2014,465,17/06/2014,72.75
Deputy Chief Operating Officer,Advertising,TYPOFONDERIE,30/05/2014,558,17/06/2014,46.07
Childrens Services,Telephones Calls,VODAFONE,28/05/2014,775,17/06/2014,259.98
Childrens Services,Other Services,VUE BSL LTD,12/05/2014,682,17/06/2014,16.7
Childrens Services,Other Services,VUE BSL LTD,02/06/2014,689,17/06/2014,10.3
Childrens Services,Other Services,VUE BSL LTD,05/05/2014,680,17/06/2014,10.65
Childrens Services,Other Services,VUE BSL LTD,20/05/2014,685,17/06/2014,13.45
Childrens Services,Equipment and Materials Purcha,W GADSBY SON LTD,15/05/2014,394,17/06/2014,9
Childrens Services,Equipment and Materials Purcha,W GADSBY SON LTD,15/05/2014,393,17/06/2014,456.72
Childrens Services,Food Costs,WAITROSE 215,08/05/2014,501,17/06/2014,35.82
Childrens Services,Other Services,WARNER BROS,05/05/2014,585,17/06/2014,301
Deputy Chief Operating Officer,Legal and Court Fees,WESTMINSTER PARKING,20/05/2014,491,17/06/2014,8.9
Childrens Services,Books-CDs-Audio-Video,WH SMITH,12/05/2014,437,17/06/2014,10
Childrens Services,Other Transfer Payments to Soc,WILKINSON,02/06/2014,690,17/06/2014,3.42
Childrens Services,Other Transfer Payments to Soc,WILKINSON,20/05/2014,565,17/06/2014,8.24
Childrens Services,Other Transfer Payments to Soc,WILKINSON,02/06/2014,691,17/06/2014,3
Childrens Services,Equipment and Materials Purcha,WM MORRISONS,13/05/2014,787,17/06/2014,159.98
Childrens Services,Books-CDs-Audio-Video,WWW.BAAF.ORG.UK,02/06/2014,704,17/06/2014,24.9
Childrens Services,Books-CDs-Audio-Video,WWW.BAAF.ORG.UK,07/05/2014,699,17/06/2014,166
CSG Managed Budget,Equipment and Materials Purcha,WWW.CLOTHES2ORDER.C,09/05/2014,806,17/06/2014,"1,237.68"
Childrens Services,Equipment and Materials Purcha,WWW.GADSBY.CO.UK,09/05/2014,392,17/06/2014,360.48
Deputy Chief Operating Officer,Advertising,WWW.GETTYIMAGES.COM,21/05/2014,557,17/06/2014,58.25
Childrens Services,Books-CDs-Audio-Video,WWW.HAYGROUP.COM,09/05/2014,390,17/06/2014,111.99
Childrens Services,Equipment and Materials Purcha,WWW.JOHNLEWIS.COM,14/05/2014,708,17/06/2014,303
Childrens Services,Food Costs,WWW.MILKANDMORE.CO.,23/05/2014,426,17/06/2014,70.4
Childrens Services,Equipment and Materials Purcha,WWW.NISBETS.COM,19/05/2014,439,17/06/2014,109.11
Childrens Services,Miscellaneous Expenses,WWW.PARTYDELIGHTS.C,22/05/2014,701,17/06/2014,67.69
Childrens Services,Conference Expenses,WWW.PCNEXPO.COM,16/05/2014,766,17/06/2014,298.8
Childrens Services,Other Transfer Payments to Soc,WWW.QEGSCHOOL.ORG.U,22/05/2014,425,17/06/2014,11.17
Adults and Communities,Postage,WWW.ROYALMAIL.COM,30/05/2014,530,17/06/2014,124
Adults and Communities,Postage,WWW.ROYALMAIL.COM,09/05/2014,529,17/06/2014,124
Childrens Services,Stationery,WWW.STAPLES.CO.UK,20/05/2014,781,17/06/2014,79.85
Childrens Services,Clothing - Protective Clothing,WWW.TIBARD.CO.UK,14/05/2014,415,17/06/2014,97.14
Childrens Services,Equipment and Materials Repair,AFE SERVICELINE,10/06/2014,953,16/07/2014,437.52
Control Accounts,Miscellaneous Expenses,ARGOS RETAIL GROUP,13/06/2014,1019,16/07/2014,63.94
Childrens Services,Cleaning and domestic material,ASDA HOME DELIVERY,10/06/2014,963,16/07/2014,4.27
Childrens Services,Cleaning and domestic material,ASDA HOME DELIVERY,24/06/2014,983,16/07/2014,12.42
Childrens Services,Cleaning and domestic material,ASDA HOME DELIVERY,17/06/2014,971,16/07/2014,18.22
Childrens Services,Cleaning and domestic material,ASDA HOME DELIVERY,04/06/2014,960,16/07/2014,27.56
Childrens Services,Food Costs,ASDA HOME DELIVERY,17/06/2014,973,16/07/2014,-2.2
Childrens Services,Food Costs,ASDA HOME DELIVERY,17/06/2014,972,16/07/2014,209.1
Childrens Services,Food Costs,ASDA HOME DELIVERY,04/06/2014,959,16/07/2014,232.32
Childrens Services,Food Costs,ASDA HOME DELIVERY,24/06/2014,982,16/07/2014,186.12
Childrens Services,Food Costs,ASDA HOME DELIVERY,10/06/2014,964,16/07/2014,144.08
Childrens Services,Equipment and Materials Purcha,ASDA SUPERSTORE,13/06/2014,991,16/07/2014,52.98
Childrens Services,Cleaning and domestic material,ASDA SUPERSTORE,10/06/2014,1127,16/07/2014,30
Childrens Services,Cleaning and domestic material,ASDA SUPERSTORE,12/06/2014,1129,16/07/2014,11.4
Childrens Services,Cleaning and domestic material,ASDA SUPERSTORE,17/06/2014,1254,16/07/2014,28.22
Childrens Services,Equipment and Materials Purcha,ASDA SUPERSTORE,26/06/2014,1144,16/07/2014,20
Childrens Services,Equipment and Materials Purcha,ASDA SUPERSTORE,19/06/2014,1133,16/07/2014,19.27
Childrens Services,Equipment and Materials Purcha,ASDA SUPERSTORE,06/06/2014,1122,16/07/2014,47.5
Childrens Services,Equipment and Materials Purcha,ASDA SUPERSTORE,10/06/2014,1236,16/07/2014,3.96
Childrens Services,Food Costs,ASDA SUPERSTORE,17/06/2014,1253,16/07/2014,69.38
Childrens Services,Food Costs,ASDA SUPERSTORE,26/06/2014,1143,16/07/2014,38.66
Childrens Services,Food Costs,ASDA SUPERSTORE,19/06/2014,1135,16/07/2014,8
Childrens Services,Food Costs,ASDA SUPERSTORE,19/06/2014,1134,16/07/2014,53.12
Childrens Services,Food Costs,ASDA SUPERSTORE,12/06/2014,1128,16/07/2014,79.98
Childrens Services,Food Costs,ASDA SUPERSTORE,10/06/2014,1126,16/07/2014,94.72
Childrens Services,Food Costs,ASDA SUPERSTORE,06/06/2014,1123,16/07/2014,31.47
Childrens Services,Equipment and Materials Purcha,ASDA SUPERSTORE,11/06/2014,965,16/07/2014,48.96
Childrens Services,Equipment and Materials Purcha,ASDA SUPERSTORE,16/06/2014,970,16/07/2014,20
Childrens Services,Food Costs,ASDA SUPERSTORE,23/06/2014,980,16/07/2014,2
Childrens Services,Food Costs,ASDA SUPERSTORE,16/06/2014,969,16/07/2014,53.18
Childrens Services,Food Costs,ASDA SUPERSTORE,23/06/2014,978,16/07/2014,73.2
Childrens Services,Publications,ASDA SUPERSTORE,23/06/2014,979,16/07/2014,0.55
Childrens Services,Food Costs,ASDA SUPERSTORE,18/06/2014,1172,16/07/2014,21.74
Childrens Services,Equipment and Materials Purcha,Amazon EU,05/06/2014,1104,16/07/2014,15.81
Childrens Services,Stationery,Amazon EU,27/06/2014,1176,16/07/2014,16.51
Childrens Services,Stationery,Amazon EU,23/06/2014,1139,16/07/2014,12.64
Childrens Services,Stationery,Amazon EU,30/06/2014,1148,16/07/2014,22.23
Childrens Services,Training,Amazon EU,24/06/2014,956,16/07/2014,200
Street Scene,Equipment and Materials Purcha,Amazon EU,06/06/2014,945,16/07/2014,10.43
Street Scene,Equipment and Materials Purcha,Amazon EU,09/06/2014,946,16/07/2014,41.73
Childrens Services,Equipment and Materials Purcha,Amazon EU,01/07/2014,1165,16/07/2014,6.84
Childrens Services,Equipment and Materials Purcha,Amazon EU,04/06/2014,1155,16/07/2014,156.73
Childrens Services,Equipment and Materials Purcha,Amazon EU,01/07/2014,1167,16/07/2014,4.77
Childrens Services,Books-CDs-Audio-Video,Amazon Mktplce EU-U,30/06/2014,1177,16/07/2014,11.8
Childrens Services,Equipment and Materials Purcha,Amazon Mktplce EU-U,30/06/2014,958,16/07/2014,10.4
Street Scene,Books-CDs-Audio-Video,Amazon Mktplce EU-U,13/06/2014,947,16/07/2014,59.5
Street Scene,Books-CDs-Audio-Video,Amazon Mktplce EU-U,19/06/2014,949,16/07/2014,83.32
Childrens Services,Books-CDs-Audio-Video,Amazon Mktplce EU-U,24/06/2014,1103,16/07/2014,53.09
Childrens Services,Books-CDs-Audio-Video,Amazon Mktplce EU-U,23/06/2014,1101,16/07/2014,15.29
Childrens Services,Books-CDs-Audio-Video,Amazon Mktplce EU-U,11/06/2014,1090,16/07/2014,23.85
Public Health,Books-CDs-Audio-Video,Amazon Mktplce EU-U,03/06/2014,1192,16/07/2014,-13.3
Childrens Services,Books-CDs-Audio-Video,Amazon Mktplce EU-U,01/07/2014,1166,16/07/2014,7
Childrens Services,Books-CDs-Audio-Video,Amazon Mktplce EU-U,01/07/2014,1164,16/07/2014,6.85
Childrens Services,Books-CDs-Audio-Video,Amazon Mktplce EU-U,01/07/2014,1163,16/07/2014,2.22
Childrens Services,Books-CDs-Audio-Video,Amazon Mktplce EU-U,11/06/2014,1158,16/07/2014,45.05
Childrens Services,Books-CDs-Audio-Video,Amazon Mktplce EU-U,04/06/2014,1154,16/07/2014,5.99
Childrens Services,Books-CDs-Audio-Video,Amazon Mktplce EU-U,01/07/2014,1162,16/07/2014,4.99
Childrens Services,Equipment and Materials Purcha,Amazon Mktplce EU-U,18/06/2014,1007,16/07/2014,25.65
Childrens Services,Equipment and Materials Purcha,Amazon Mktplce EU-U,18/06/2014,1008,16/07/2014,1.98
Childrens Services,Equipment and Materials Purcha,Amazon Mktplce EU-U,19/06/2014,1009,16/07/2014,2.96
CSG Managed Budget,Books-CDs-Audio-Video,Amazon Mktplce EU-U,12/06/2014,1194,16/07/2014,-44.99
Childrens Services,Building Repairs & Maintenance,B Q,23/06/2014,1099,16/07/2014,2.48
Childrens Services,Building Repairs & Maintenance,B Q,23/06/2014,1093,16/07/2014,8.99
Childrens Services,Building Repairs & Maintenance,B Q,23/06/2014,1097,16/07/2014,5.83
Childrens Services,Building Repairs & Maintenance,B Q,23/06/2014,1095,16/07/2014,13.32
Childrens Services,Miscellaneous Expenses,BARNET REGISTER OFF,13/06/2014,1180,16/07/2014,45
Childrens Services,Miscellaneous Expenses,BARNET REGISTER OFF,13/06/2014,1182,16/07/2014,15
Childrens Services,Miscellaneous Expenses,BARNET REGISTER OFF,13/06/2014,1181,16/07/2014,15
Childrens Services,Miscellaneous Expenses,BARNET REGISTER OFF,01/07/2014,1191,16/07/2014,30
Childrens Services,Miscellaneous Expenses,BARNET REGISTER OFF,26/06/2014,1190,16/07/2014,30
Deputy Chief Operating Officer,Cleaning and domestic material,BLAKES DRY CLEANER,12/06/2014,1035,16/07/2014,19.94
Childrens Services,Equipment and Materials Purcha,BOOTS.COM,09/06/2014,1001,16/07/2014,25
Childrens Services,Equipment and Materials Purcha,BOOTS.COM,09/06/2014,1000,16/07/2014,41.15
Deputy Chief Operating Officer,Vehicle Running Costs,BP KELLYS CORNER CO,05/06/2014,1034,16/07/2014,9
Deputy Chief Operating Officer,Vehicle Running Costs,BP KELLYS CORNER CO,01/07/2014,1039,16/07/2014,9
Childrens Services,Travelling Expenses,BP KELLYS CORNER CO,09/06/2014,1077,16/07/2014,25
Childrens Services,Travelling Expenses,BP KELLYS CORNER CO,09/06/2014,1078,16/07/2014,30.01
Internal Audit & CAFT,Equipment and Materials Purcha,CANFORD AUDIO PLC,19/06/2014,1195,16/07/2014,403.2
Childrens Services,Food Costs,CO-OP GROUP,25/06/2014,1059,16/07/2014,15.11
Childrens Services,Food Costs,CO-OP GROUP,16/06/2014,968,16/07/2014,5.98
Childrens Services,Legal and Court Fees,COUNCIL TAX,16/06/2014,942,16/07/2014,"1,406.50"
Childrens Services,Vehicle Running Costs,CURRIE MOTORS,30/06/2014,944,16/07/2014,-500
Childrens Services,Transport Hire Charges,CURRIE MOTORS CAR,20/06/2014,943,16/07/2014,365
Childrens Services,Equipment and Materials Purcha,CURRYS,23/06/2014,1045,16/07/2014,10.83
Childrens Services,Equipment and Materials Purcha,CURRYS,23/06/2014,1047,16/07/2014,10.83
Childrens Services,Equipment and Materials Purcha,DAWSONSDEPARTMENTS,06/06/2014,952,16/07/2014,315
Childrens Services,Food Costs,DELAZIZ SE1 3UN,24/06/2014,1068,16/07/2014,35.08
Childrens Services,Equipment and Materials Purcha,DISCOUNT LAND,23/06/2014,977,16/07/2014,15.96
Childrens Services,Equipment and Materials Purcha,DOMESTIC GENERAL,24/06/2014,1140,16/07/2014,47.59
Childrens Services,Food Costs,DOMINOS PIZZA (BARN,30/06/2014,1070,16/07/2014,36.47
Childrens Services,Equipment and Materials Repair,EBUYER (UK) LTD,06/06/2014,951,16/07/2014,48.16
Childrens Services,Equipment and Materials Repair,EDEN SPRINGS,12/06/2014,954,16/07/2014,312.13
Childrens Services,Travelling Expenses,FCC CONNECT,19/06/2014,997,16/07/2014,3.25
Childrens Services,Equipment and Materials Purcha,GLS EDUCATIONAL SU,10/06/2014,1108,16/07/2014,88.49
Adults and Communities,Training,GOVERNMENT KNOWLEGD,05/06/2014,1074,16/07/2014,354
Childrens Services,Miscellaneous Expenses,GRO HM PASSPORT OFF,18/06/2014,1184,16/07/2014,70.2
Childrens Services,Miscellaneous Expenses,GRO HM PASSPORT OFF,20/06/2014,1189,16/07/2014,23.4
Childrens Services,Miscellaneous Expenses,GRO HM PASSPORT OFF,13/06/2014,1183,16/07/2014,23.4
Childrens Services,Miscellaneous Expenses,GRO HM PASSPORT OFF,18/06/2014,1178,16/07/2014,23.4
Childrens Services,Legal and Court Fees,GRO HM PASSPORT OFF,18/06/2014,1185,16/07/2014,23.4
Childrens Services,Legal and Court Fees,GRO HM PASSPORT OFF,19/06/2014,1186,16/07/2014,-23.4
Childrens Services,Legal and Court Fees,GRO HM PASSPORT OFF,19/06/2014,1187,16/07/2014,-23.4
Childrens Services,Legal and Court Fees,GRO HM PASSPORT OFF,03/06/2014,1179,16/07/2014,-46.8
Childrens Services,Miscellaneous Expenses,HARINGEY COUNCIL,26/06/2014,1020,16/07/2014,279
Adults and Communities,Training,HEALTHCARE CONFEREN,26/06/2014,1075,16/07/2014,474
Childrens Services,Miscellaneous Expenses,HIGH STREET VOUCHE,11/06/2014,1200,16/07/2014,244.25
CSG Managed Budget,Legal and Court Fees,HMCOURTS-SERVICE.G,17/06/2014,1245,16/07/2014,"4,977.00"
CSG Managed Budget,Legal and Court Fees,HMCOURTS-SERVICE.G,17/06/2014,1246,16/07/2014,"4,029.00"
CSG Managed Budget,Legal and Court Fees,HMCOURTS-SERVICE.G,01/07/2014,1247,16/07/2014,795
Childrens Services,Equipment and Materials Purcha,HOBBYCRAFT,19/06/2014,1080,16/07/2014,123.85
Childrens Services,Other Services,HOLLYWOODBOWL.CO.U,23/06/2014,1025,16/07/2014,59.5
Childrens Services,Building Repairs & Maintenance,HOMEBASE LTD 24,16/06/2014,1243,16/07/2014,9.67
Childrens Services,Food Costs,HOMEBASE LTD 24,25/06/2014,1058,16/07/2014,45.82
Childrens Services,Building Repairs & Maintenance,HOWDEN JOINERY SOUT,04/06/2014,1222,16/07/2014,2.76
Childrens Services,Building Repairs & Maintenance,HOWDEN JOINERY SOUT,04/06/2014,1226,16/07/2014,1
Childrens Services,Building Repairs & Maintenance,HOWDEN JOINERY SOUT,04/06/2014,1224,16/07/2014,3.15
Childrens Services,Building Repairs & Maintenance,HOWDEN JOINERY SOUT,04/06/2014,1220,16/07/2014,17.4
Childrens Services,Private Contractors - Third Pa,IMGRUNTOTHEBEAT214,11/06/2014,1065,16/07/2014,36.5
Childrens Services,Private Contractors - Third Pa,IMGRUNTOTHEBEAT214,09/06/2014,1064,16/07/2014,36.5
Childrens Services,Private Contractors - Third Pa,IMGRUNTOTHEBEAT214,26/06/2014,1069,16/07/2014,36.5
Childrens Services,Equipment and Materials Purcha,INITIAL CONTRACT S,13/06/2014,967,16/07/2014,40.2
Deputy Chief Operating Officer,Equipment and Materials Purcha,INSPIRED FRAMES,19/06/2014,1030,16/07/2014,14.1
Childrens Services,Building Repairs & Maintenance,INTREPID,20/06/2014,1205,16/07/2014,450
Childrens Services,Building Repairs & Maintenance,INTREPID,20/06/2014,1204,16/07/2014,18
Childrens Services,Food Costs,JS ONLINE GROCERY,03/06/2014,998,16/07/2014,30
Childrens Services,Food Costs,JS ONLINE GROCERY,10/06/2014,1002,16/07/2014,30
Childrens Services,Food Costs,JS ONLINE GROCERY,17/06/2014,1006,16/07/2014,30
Childrens Services,Food Costs,JS ONLINE GROCERY,24/06/2014,1013,16/07/2014,30
Childrens Services,Food Costs,JS ONLINE GROCERY,01/07/2014,1015,16/07/2014,30
Childrens Services,Cleaning and domestic material,JS ONLINE GROCERY,04/06/2014,1120,16/07/2014,8
Childrens Services,Cleaning and domestic material,JS ONLINE GROCERY,09/06/2014,1125,16/07/2014,11
Childrens Services,Food Costs,JS ONLINE GROCERY,04/06/2014,1121,16/07/2014,109.43
Childrens Services,Food Costs,JS ONLINE GROCERY,16/06/2014,1131,16/07/2014,141.81
Childrens Services,Food Costs,JS ONLINE GROCERY,09/06/2014,1124,16/07/2014,162
Childrens Services,Equipment and Materials Purcha,JS ONLINE GROCERY,01/07/2014,1161,16/07/2014,221.54
Childrens Services,Equipment and Materials Purcha,JS ONLINE GROCERY,03/06/2014,1153,16/07/2014,107.85
Childrens Services,Equipment and Materials Purcha,JS ONLINE GROCERY,17/06/2014,1159,16/07/2014,198.67
Childrens Services,Equipment and Materials Purcha,JS ONLINE GROCERY,10/06/2014,1157,16/07/2014,123.35
Childrens Services,Equipment and Materials Purcha,JS ONLINE GROCERY,24/06/2014,1160,16/07/2014,184.06
Childrens Services,Food Costs,JS ONLINE GROCERY,24/06/2014,1012,16/07/2014,297.47
Childrens Services,Food Costs,JS ONLINE GROCERY,03/06/2014,999,16/07/2014,240.21
Childrens Services,Food Costs,JS ONLINE GROCERY,10/06/2014,1003,16/07/2014,253.87
Childrens Services,Food Costs,JS ONLINE GROCERY,10/06/2014,1004,16/07/2014,-5.6
Childrens Services,Food Costs,JS ONLINE GROCERY,17/06/2014,1005,16/07/2014,312.74
Childrens Services,Food Costs,JS ONLINE GROCERY,01/07/2014,1014,16/07/2014,198.39
Strategic Commissioning Board,Travelling Expenses,JURYS MANCHESTER I,26/06/2014,1197,16/07/2014,244
Childrens Services,Equipment and Materials Purcha,KAYS DELICATESSEN,18/06/2014,1042,16/07/2014,58.1
Adults and Communities,Subsistence,KING SOLOMON HOTEL,20/06/2014,1199,16/07/2014,236
Childrens Services,Miscellaneous Expenses,L BORO OF ISLINGTN,19/06/2014,1188,16/07/2014,11
Childrens Services,Travelling Expenses,LB BARNET PERMIT,11/06/2014,1151,16/07/2014,500
Childrens Services,Travelling Expenses,LUL TICKET MACHINE,16/06/2014,1066,16/07/2014,10
Childrens Services,Travelling Expenses,LUL TICKET OFFICE.,01/07/2014,1071,16/07/2014,10
Childrens Services,Subscriptions,MA HEALTHCARE LTD,18/06/2014,1152,16/07/2014,108.9
Childrens Services,Cleaning and domestic material,MAKRO SELF SERVICE,06/06/2014,961,16/07/2014,112.07
Childrens Services,Food Costs,MAKRO SELF SERVICE,20/06/2014,974,16/07/2014,27.57
Childrens Services,Stationery,MAKRO SELF SERVICE,20/06/2014,975,16/07/2014,5.39
Deputy Chief Operating Officer,Subsistence,MCDONALDS,30/06/2014,1038,16/07/2014,4.28
Deputy Chief Operating Officer,Subsistence,MCDONALDS REST,04/06/2014,1033,16/07/2014,10.88
Childrens Services,Food Costs,MCDONALDS REST,03/06/2014,1082,16/07/2014,7.07
Childrens Services,Food Costs,MCDONALDS REST,06/06/2014,1250,16/07/2014,6.75
Childrens Services,Publications,MR P K PATEL,16/06/2014,1130,16/07/2014,138.55
Childrens Services,Travelling Expenses,NATIONAL EXPRESS LI,12/06/2014,1115,16/07/2014,325
Childrens Services,Travelling Expenses,NCP LIMITED PD,06/06/2014,1063,16/07/2014,5
Childrens Services,Travelling Expenses,NCP LIMITED PD,01/07/2014,1072,16/07/2014,5
Childrens Services,Private Contractors - Third Pa,NORDOFF-ROBBINS,03/06/2014,1018,16/07/2014,360
Childrens Services,Training,OPTIMUS PROF PUBLIS,06/06/2014,1112,16/07/2014,454.8
Childrens Services,Subscriptions,OPTIMUS PROF PUBLIS,10/06/2014,1107,16/07/2014,342
Childrens Services,Equipment and Materials Purcha,OTICON LTD,11/06/2014,1109,16/07/2014,30.9
Childrens Services,Travelling Expenses,OYSTER AUTOTOPUP,09/06/2014,1051,16/07/2014,20
Street Scene,Travelling Expenses,OYSTER AUTOTOPUP,30/06/2014,950,16/07/2014,20
Childrens Services,Travelling Expenses,OYSTER BUS AUTOTOP,16/06/2014,1203,16/07/2014,20
Childrens Services,Travelling Expenses,OYSTER BUS AUTOTOP,23/06/2014,1052,16/07/2014,20
Childrens Services,Travelling Expenses,OYSTER BUS AUTOTOP,19/06/2014,1054,16/07/2014,20
Childrens Services,Travelling Expenses,OYSTER BUS AUTOTOP,19/06/2014,1175,16/07/2014,20
Childrens Services,Travelling Expenses,OYSTER BUS AUTOTOP,26/06/2014,986,16/07/2014,20
Childrens Services,Travelling Expenses,OYSTER BUS AUTOTOP,23/06/2014,1111,16/07/2014,20
Childrens Services,Private Contractors - Third Pa,PAYPAL ABRACADABRA,09/06/2014,1113,16/07/2014,306.6
Childrens Services,Training,PAYPAL BOOGIEMITES,13/06/2014,1171,16/07/2014,162
Childrens Services,Equipment and Materials Purcha,PEARSONS (ENFIELD),30/06/2014,1147,16/07/2014,6.36
Deputy Chief Operating Officer,Grounds maintenance,PINKS SPIRES,03/06/2014,1026,16/07/2014,340
Childrens Services,Postage,POST OFFICE COUNTER,04/06/2014,1173,16/07/2014,53
Childrens Services,Postage,POST OFFICE COUNTER,03/06/2014,1117,16/07/2014,8.45
Childrens Services,Postage,POST OFFICE COUNTER,10/06/2014,1169,16/07/2014,11
Deputy Chief Operating Officer,Subsistence,PRET A MANAGER,01/07/2014,1040,16/07/2014,4.35
Childrens Services,Other Transfer Payments to Soc,PRIMARK STORES LTD,04/06/2014,1084,16/07/2014,55.5
Childrens Services,Consumable Catering Supplies,REYNARDS UK LTD,20/06/2014,955,16/07/2014,387.79
Childrens Services,Cleaning and domestic material,ROBINSON HC - LONDO,20/06/2014,1011,16/07/2014,58.86
Childrens Services,Cleaning and domestic material,ROBINSON HC - LONDO,20/06/2014,1010,16/07/2014,87.54
Childrens Services,Cleaning and domestic material,SAINSBURYS S/MKT,01/07/2014,1150,16/07/2014,12.75
Childrens Services,Cleaning and domestic material,SAINSBURYS S/MKT,30/06/2014,1146,16/07/2014,33.98
Childrens Services,Cleaning and domestic material,SAINSBURYS S/MKT,24/06/2014,1142,16/07/2014,26.85
Childrens Services,Cleaning and domestic material,SAINSBURYS S/MKT,23/06/2014,1138,16/07/2014,37
Childrens Services,Cleaning and domestic material,SAINSBURYS S/MKT,03/06/2014,1118,16/07/2014,3
Childrens Services,Food Costs,SAINSBURYS S/MKT,01/07/2014,1149,16/07/2014,116.36
Childrens Services,Food Costs,SAINSBURYS S/MKT,27/06/2014,1060,16/07/2014,5.25
Childrens Services,Food Costs,SAINSBURYS S/MKT,30/06/2014,1145,16/07/2014,148.71
Childrens Services,Food Costs,SAINSBURYS S/MKT,24/06/2014,1141,16/07/2014,142.78
Childrens Services,Food Costs,SAINSBURYS S/MKT,03/06/2014,1119,16/07/2014,34.15
Childrens Services,Food Costs,SAINSBURYS S/MKT,16/06/2014,1132,16/07/2014,8.95
Childrens Services,Food Costs,SAINSBURYS S/MKT,23/06/2014,1137,16/07/2014,157.67
Childrens Services,Equipment and Materials Purcha,SAINSBURYS S/MKT,11/06/2014,966,16/07/2014,69.99
Childrens Services,Food Costs,SAINSBURYS S/MKT,01/07/2014,985,16/07/2014,10
Childrens Services,Food Costs,SAINSBURYS S/MKT,09/06/2014,962,16/07/2014,49.88
Childrens Services,Equipment and Materials Purcha,SAINSBURYS S/MKTS,19/06/2014,1174,16/07/2014,6
Childrens Services,Cleaning and domestic material,SAINSBURYS S/MKTS,03/06/2014,1016,16/07/2014,23.7
